,아이디,댓글
0,owhc_ap,🧡
1,clear_worldview,세계유산을 위한 적극적인 행보를 응원합니다 정말 멋있어요😆
2,woshienshan,세계유산도시기구 메타버스 open 축하해요.
3,wonah77,세계유산도시기구 메타버스 이용하는데 시행착오가 있기는 했지만 재밌게 구경할 수 있었어요.
4,xuanyinnn,메타버스 오픈 축하합니다! 앞으로도 계속 응원하겠습니다~~
5,haeuninini_,@bomme_8 신기하다~
6,imjihyeon335,"#세계유산도시기구 메타버스 오픈을 진심으로 축하드립니다 🎉🎊 앞으로도 더 많은 사랑과 관심 듬뿍듬뿍 받으시길 항상 응원하겠습니다 인님들 모두모두 함께해요 ✅️💚🌿🍀🍀💯💯🙋‍♀️📣 @imjiyeong271
@goyang22
@minyoulove11
@3.14p.i
@gimcangi4032
@happygo1289
✅️🍀🍀🍀🍀🍀🍀🍀🍀🍀🍀✅️
🙋‍♀️👋👋👋👋👋👋👋👋👋👋🙋‍♀️"
7,cshoon3136,#세계유산도시기구 메타버스 오픈 축하드립니다❤️ 많은분들의 관심과 사랑과 참여로승승장구 하시길 응원합니다💙함께해요💙 @blairjay0118 @clickymk @chobo1298 @danbee2004 @sewill_moon @ddangkong154 @goodd_199 @jeongjinbaeg2 @jeonjeongweon57 @eee2_hs
8,meangmiseon,"응원합니당❤️❤️❤️
@jeongeunog16"
9,writing_nam,@cultureart_moa 야 이거 ㄱㄱ
10,emmaoh0,세계유산도시기구 메타버스 응원합니다 🙌 저도 경험해보고 싶어요 @uuuu.__y
11,nam_y.u,@jinseull_ 오 재밌겠다 세계유산을 메타버스로도 즐기는 시대가 온 것이야
12,jhyeon4423,세계유산도시기구의 메타버스 ❤️❤️많은사랑 받으시길 응원합니다 ❤️❤️ @gmlwjd8685 @gimjiseon617 @cjdgnsdhkd @jopdzzan
13,nbl2a,@haeuninini_ 신기하다 이거 ㅋㅋㅋ
14,junhoholee,와우 오픈 축하~~~^^ @seong30ee @growing_302
