아이디,댓글,시간
owhc_ap,"🔥𝐸𝒱𝐸𝒩𝒯
난 메타버스에서 인증사진 찍고
선물도 받는다 〰️😉

경주시 OWHC-AP에서 개발한 메타버스에서
인증사진 찍고 치킨, 케이크와 함께
즐거운 연말 보내세요 〰️🎄✨

✅이벤트 기간
22.12.01.(목)~ 22.12.14.(수)

✅ 참여방법
① owhc_ap 계정 프로필 링크를 통해 메타버스 입장!
② 메타버스 속 내 캐릭터를 캡쳐하고 SNS에 사진 업로드!
③ 참여 완료 댓글 남기기!

🔥잠깐!
메타버스 우체통에서 방명록을 작성하면
당첨 확률 𝓤𝓟 𝓤𝓟 ‼️

✅ 당첨자 발표
22.12.16.(금)",2022-12-01 06:55:47+00:00
cathero6025,👏,2022-12-05 15:47:51+00:00
nayoung2again,참여완료 https://www.instagram.com/p/Clyq_eOphbH/?igshid=YmMyMTA2M2Y= 우리함께해요❤️❤️❤️ @polarsnow93 @rout.a2018,2022-12-13 19:58:43+00:00
eh2ywuwi,"참여완료 🥰
https://www.facebook.com/nayoungagain/posts/pfbid02EeqZZ4AvsPm5LBGzhdYgCYjwF4ZzKcAZP4nbjzGtM6pjAWY6ZBtrX4zjhkVyTkarl",2022-12-11 11:21:02+00:00
haeuninini_,참여완료 https://www.instagram.com/p/CmBpg3BOUjQ/?igshid=YmMyMTA2M2Y=,2022-12-01 07:06:45+00:00
1004ansun,참여했습니다!!! 연말에 치킨 먹고파요 ㅠㅠㅠㅜ,2022-12-01 10:19:59+00:00
hwaye0n_,참여 완료,2022-12-01 07:39:27+00:00
nbl2a,경주시 로고 앞에서 한컷📷✨ 참여 완료했습니다~~,2022-12-01 07:06:44+00:00
clear_worldview,참여 완료! 메타버스 알수록 신기하네여,2022-12-01 07:45:16+00:00
bom2what,참여완료! 연말에 가족들이랑 도란도란 앉아 치킨먹구 싶어요,2022-12-01 10:14:27+00:00
meangmiseon,참여 완료!,2022-12-01 08:48:13+00:00
pearlson5432,https://www.instagram.com/p/ClnoGGNpe2e/?igshid=YmMyMTA2M2Y= 참여완료 방명록 작성 안되네요 ㅜ,2022-12-01 07:15:08+00:00
wtwoboy,참여완료 ^^,2022-12-01 10:19:24+00:00
yspark23,참여 완료,2022-12-01 07:05:21+00:00
waeha_mama,참여완료!!! 메타버스 너무 멋지네요,2022-12-01 10:12:47+00:00
spartakim,참여 완료,2022-12-01 14:57:45+00:00
wanjms,참여완료 🔥,2022-12-01 10:11:10+00:00
olie.36,참여 완료 https://www.instagram.com/p/Clnxl0fJ6CV/?igshid=YmMyMTA2M2Y=,2022-12-07 03:47:41+00:00
hyunssuk.e,참여완료 했어요~~^^,2022-12-05 02:07:32+00:00
dayby.day2022,🙆‍♀️ 참여완료 ☑️,2022-12-02 10:35:30+00:00
hojin.mom,참여완료❤️,2022-12-01 07:47:58+00:00
gimhyeonju451,참여완료😍 https://www.instagram.com/p/ClnhM6rpxjo/?igshid=YmMyMTA2M2Y=,2022-12-06 06:29:57+00:00
peachlike1004,참여완료,2022-12-07 21:58:58+00:00
ggggtt992,"https://www.instagram.com/p/Cl4fT-JhjFh/?igshid=YmMyMTA2M2Y= 참여 완료🙌😍😍@owhc_ap
#세계유산도시기구 #세계유산도시기구메타버스
방명록 작성 완료🫶🫶
세계유산도시기구 메타버스 잘 둘러보고 왔어요~ 유명 세계유산을 메타버스라는 가상의 공간에서 생생하게 관람할 수 있어 좋습니다! @jeongjinbaeg2 @ddangkong154",2022-12-02 11:27:25+00:00
shatory_4411,참여완료! 재밌어요,2022-12-07 12:03:55+00:00
jangjeongug921,참여완료❤️❤️❤️,2022-12-05 12:35:46+00:00
ooozx_oo,참여오나료,2022-12-05 06:45:57+00:00
zxcw733,참여완료💛 너무 재밌어요(*•̀ᴗ•́*)و ̑̑,2022-12-11 11:48:40+00:00
ccctwq,참여완료~,2022-12-02 11:24:39+00:00
2020.09.10,참여완료,2022-12-11 07:09:27+00:00
an_gyeongjun,참여완료 ! 🔥,2022-12-08 14:12:52+00:00
seankim_quattro,참여완료,2022-12-05 09:45:02+00:00
82dengo,참여완료,2022-12-05 06:39:13+00:00
hmmn559,참여완료 재밌네요,2022-12-04 03:00:14+00:00
